,Link
0,https://siu.edu.in/
1,https://www.sitpune.edu.in/
2,/assets/pdf/Induction 2025 Program-Schedule_compressed.pdf
3,contactus
4,https://www.sitpune.edu.in/assets/pdf/Mandatory Disclosure 2024-25_compressed.pdf
5,https://www.sitpune.edu.in/dual-degree-programs
6,javascript:void(0)
7,about-us-the-institute
8,siu-vision-mission
9,chancellors-message
10,institute-vision-mission
11,dean-director-message
12,javascript:void(0)
13,deputy-director-academics
14,
15,institute-committees
16,https://www.siu.edu.in/about-us/authorities-committees/internal-committees
17,timesarticle
18,gallery
19,https://siu.edu.in/siu-departments.php
20,https://siu.edu.in/symbiosis-committee.php
21,https://www.siu.edu.in/about-us/why-us/student-wellbeing
22,javascript:void(0)
23,javascript:void(0)
24,btech-AI
25,btech-civil-engineering
26,btech-computer-science-engineering
27,btech-electronic-telecommunications
28,btech-Information-Technology-Program-Structures
29,btech-mechanical-engineering
30,btech-robotics
31,javascript:void(0)
32,mtech_AI
33,automotive-technology
34,mtech_embdedsystems
35,Mtech-Engineering-Design
36,Mtech-Robotics-and-Automation
37,m.tech-geoinformatics-st
38,acd-phd
39,javascript:void(0)
40,departmentalbrochure
41,first-add-admission-procedure
42,second-year
43,m-tech-addmission
44,http://scri.siu.edu.in/
45,fees-structure
46,edu_loan
47,javascript:void(0)
48,research-area
49,research-project
50,research-publications
51,https://www.sitpune.edu.in/fundedresearch
52,faculty-award-recog
53,research-centres
54, workshops-seminars
55,https://www.sitpune.edu.in/assets/pdf/brochure2024/1289 - Guidelines for Research Support Fund (RSF) (1).pdf
56,Patent
57,javascript:void(0)
58,javascript:void(0)
59,Scholarship
60,javascript:void(0)
61,scholarship-achievements-2024-25
62,scholarship-achievements-2023-24
63,scholarship-achievements-2022-23
64,scholarship-achievements-2021-22
65,scholarship-achievements-2020-21
66,https://www.sitpune.edu.in/assets/pdf/brochure2024/Update-Student-Handbook-2024-25-05th August 2024_compressed.pdf
67,javascript:void(0)
68,mentor-overview
69,https://www.sitpune.edu.in/assets/pdf/approvals2023/Mentoring Policy 2023_24.pdf
70,mentor-mentee-system
71,student-club
72,javascript:void(0)
73,hostel-facilities
74,https://www.sitpune.edu.in/assets/pdf/Hostel_Allotment_List_2023-24_(15-02-2024).pdf
75,amenities
76,workshop
77,food-facilities
78,sports
79,infrastructure-and-facilities
80,computer-center
81,javascript:void(0)
82,cultural-event
83,javascript:void(0)
84,symbitech-2025
85,protech-2025
86,gender-equity
87,festivals-celebrated
88,best-practices
89,ISR_Activities
90,SIT-Pune-sports
91,campus-life
92,students-project
93,"https://www.sitpune.edu.in/assets/pdf/brochure2024/1305 - Code of Conduct, 2023 (2)_compressed.pdf"
94,"https://www.sitpune.edu.in/assets/pdf/brochure2024/1300 -Revised IC Rules, 2023- Notification_compressed.pdf"
95,javascript:void(0)
96,"https://www.sitpune.edu.in/assets/pdf/brochure2024/1301 - SIU Redress of Grievances of Students, Rules, 2023_compressed.pdf"
97,https://www.sitpune.edu.in/assets/pdf/notice-pdfs/Grievance-Redressal-Mechanism.pdf
98,nodal-officer-sit
99,javascript:void(0)
100,https://www.sitpune.edu.in/assets/pdf/brochure23/Revised-procedure-&-Compliance-submission-letter.pdf
101,https://www.ugc.ac.in/page/Videos-Regarding-Ragging.aspx
102,https://www.sitpune.edu.in/assets/pdf/brochure23/Antiragging-Posters.pdf
103,nodal-officer
104,https://siu.edu.in/student-affairs.php#antiRaggingPolicy
105,https://www.sitpune.edu.in/assets/pdf/Curbing_Anti_ragging_Letter_dated_28.04.2023.pdf
106,Capacity-development-and-skills-enhancement
107,javascript:void(0)
108,https://www.sitpune.edu.in/assets/pdf/brochure2024/AcademicPolicy.pdf
109,academic-calender
110,notice-attendance
111,library
112,javascript:void(0)
113,placements
114,industry-connect
115,javascript:void(0)
116,epic_cell
117,epic_vision_mission_goal
118,epic_magazine
119,epic_policies
120,epic_committee
121,epic_action_plan
122,epic_events
123,epic_photo_gallery
124,epic_contact
125,javascript:void(0)
126,recruitments
127,javascript:void(0)
128,internationlization-objective
129,javascript:void(0)
130,about-gip
131,students-participation
132,internationlization-testimonials
133,dual-degree-programs
134,internationlization-initiatives
135,internationlization-admissions
136,internationlization-visits
137,/assets/pdf/brochure2024/International Travels.pdf
138,javascript:void(0)
139,research-funding
140,research-publication
141,international-co-supervisor
142,https://www.sitpune.edu.in/first-year
143,https://set2025.ishinfosys.com/SET20Y25/Register/Index.aspx
144,https://ezapp.ishinfo.com/SIT2025/register/Index.aspx
145,"assets/pdf/Steps for B.Tech first Year Fee Payment (SITEEE JEEAny State).pdf
"
146,https://ezapp.ishinfo.com/SITSYDA25/Register
147,https://ezapp.ishinfo.com/SYDAAFF25/Docupld/Index.aspx
148,https://siu.ishinfo.com/Mtech25/register/
149,https://siu.ishinfo.com/SITMTECHY25/Docupld/
150,https://docs.google.com/forms/d/1rLUfwrS64vPfI4Vmag7YJp_hnJ4EsoA2kyQe000r7rA/edit
151,https://ezapp.ishinfo.com/SIT2025/register/Index.aspx#_ga=2.226604248.435122843.1744006650-1024370052.1709891404
152,mailto:btechdocuments@sitpune.edu.in
153,https://set2025.ishinfosys.com/SET20Y25/Register/Index.aspx
154,https://ezapp.ishinfo.com/SIT2025/register/Index.aspx
155,"assets/pdf/Steps for B.Tech first Year Fee Payment (SITEEE JEEAny State).pdf
"
156,https://ezapp.ishinfo.com/SITSYDA25/Register
157,https://ezapp.ishinfo.com/SYDAAFF25/Docupld/Index.aspx
158,https://siu.ishinfo.com/Mtech25/register/
159,https://siu.ishinfo.com/SITMTECHY25/Docupld/
160,https://docs.google.com/forms/d/1rLUfwrS64vPfI4Vmag7YJp_hnJ4EsoA2kyQe000r7rA/edit
161,https://siu-dubai.ac.ae/
162,https://www.aston.ac.uk/postgraduate/sits-partnership
163,https://www.youtube.com/watch?v=I5boYq8ZR7A
164,https://www.youtube.com/watch?v=I5boYq8ZR7A
165,
166,#
167,#carousel-example-generic
168,#carousel-example-generic
169,
170,
171,
172,https://www.outlookindia.com/hub4business/dr-ketan-kotechas-legacy-of-empowering-students-at-sit-pune
173,https://www.outlookindia.com/hub4business/dr-ketan-kotechas-legacy-of-empowering-students-at-sit-pune
174,#
175,https://www.outlookindia.com/hub4business/dr-ketan-kotechas-legacy-of-empowering-students-at-sit-pune
176,https://www.theweek.in/wire-updates/business/2025/04/03/dcm90-symbiosis-institute-of-technology.html#:~:text=Applicants
177,https://www.theweek.in/wire-updates/business/2025/04/03/dcm90-symbiosis-institute-of-technology.html#:~:text=Applicants
178,#
179,https://www.theweek.in/wire-updates/business/2025/04/03/dcm90-symbiosis-institute-of-technology.html#:~:text=Applicants
180,https://www.shiksha.com/news/engineering-sit-pune-equips-students-for-ai-ml-and-emerging-tech-careers-with-industry-backed-curriculum-says-director-blogId-191532
181,https://www.shiksha.com/news/engineering-sit-pune-equips-students-for-ai-ml-and-emerging-tech-careers-with-industry-backed-curriculum-says-director-blogId-191532
182,#
183,https://www.shiksha.com/news/engineering-sit-pune-equips-students-for-ai-ml-and-emerging-tech-careers-with-industry-backed-curriculum-says-director-blogId-191532
184,https://www.sitpune.edu.in//our-spotlights
185,https://www.sitpune.edu.in/sit-asce-students-chapter
186,https://www.timeshighereducation.com/world-university-rankings/symbiosis-international-university
187,https://sitpune.edu.in/invited_talk_civil
188,assets/pdf/Student-Achievements-of-E&-TC.pdf
189,assets/pdf/Highlights-of-Civil-Department.pdf
190,https://scaai.edu.in/upcoming-events
191,https://www.sitpune.edu.in/Webinar-by-Eminent-Scientist/
192,https://www.sitpune.edu.in/guest-lectures/
193,https://www.sitpune.edu.in/covid-19/
194,archives
195,inter-faculty
196,eminentfaculties
197,http://webcache.googleusercontent.com/search?q=cache:http://www.whpu.edu.cn/info/1003/11959.htm
198,internationalvisit
199,pressrelease
200,caution
201,caution
202,Internationalization-recent-activities
203,assets/pdf/brochure23/Departmental_Magazine_2023.pdf
204,assets/pdf/brochure23/Symbi-Sains-April21.pdf
205,assets/pdf/brochure23/Symbi_Sains_April_2022.pdf
206,assets/images/WhatsApp Image 2021-06-20 at 12.41.02 PM.jpeg
207,assets/pdf/Corona_Hoarding_Hindi.pdf
208,assets/pdf/Between The Lines - January Edition_Final Copy.pdf
209,https://sitpune.edu.in/civil_student_achievement
210,assets/pdf/Between-The-Lines-Sep2020.pdf
211,https://scaai.edu.in/upcoming-events
212,student-activity
213,ted
214,hostel_allotment
215,recognition
216,https://www.sitpune.edu.in/academic-calender
217,https://www.sitpune.edu.in/fees-structure
218,https://www.sitpune.edu.in/academic-calender
219,https://www.sitpune.edu.in/fees-structure
220,https://www.sitpune.edu.in/
221,https://www.sitpune.edu.in/
222,https://www.sitpune.edu.in/
223,btech-AI
224,btech-civil-engineering
225,btech-computer-science-engineering
226,b.tech-electronic-telecommunication
227,btech-Information-Technology
228,btech-mechanical-engineering
229,btech-robotics
230,mtech_AI
231,m.tech-comp-aided-design-manufacture
232,m.tech-comp-science-engg
233,m.tech-electronic-telecommunication
234, mtech_embdedsystems
235,m.tech-geoinformatics-st
236,Mtech-Robotics-and-Automation
237,acd-phd
238,assets/pdf/PhD-course-work.pdf
239,parent
240,students
241,alumni2
242,https://set2021.ishinfosys.com/SITEEEY2021ScoreCard/#_ga=2.36895784.965569855.1625817681-82597750.1611914865
243,https://set2024.ishinfosys.com/SET20Y24/Register/Index.aspx
244,https://ezapp.ishinfo.com/SIT2024/Register/
245,https://ezapp.ishinfo.com/SITSYDA24/Register/
